id,time,source,sub_source,writer,link,text,cb_level,comment_shared_post
 19519150495785172445196066816, 09/10/2016 08:37, twitter, twitter, Apache, http://twitter.com/israeli_apache/statuses/785172445196066816, @galberger ימח שמה של המחבלת הקטנה,3,P
 119517843098084172808, 09/10/2016 08:10, Instagram, Instagram - koolanookahana, avraham10023, https://www.instagram.com/p/BLVZk7hhQmB, ימח שמם,2,P
 119517852893522090912, 09/10/2016 10:26, Instagram, Instagram - koolanookahana, yarin_dhan, https://www.instagram.com/p/BLWh8gwBsFr, יימח שמם,2,P
 119517863836034038715, 09/10/2016 10:26, Instagram, Instagram - koolanookahana, ran_shmunis1, https://www.instagram.com/p/BLVmhHYB5k-, ימח שמו,3,P
 119517853967420076669, 26/09/2016 04:30, Instagram, Instagram - koolanookahana, liron_sal, https://www.instagram.com/p/BKyEGpRB0f4, יימח שמם וזכרםםםםם,3,P
395497756823955, 06/10/2016 02:34, TB, YNET - עמוד הבית, , http://www.ynet.co.il/articles/0%2c7340%2cL-4863514%2c00.html, ימח שמם וזכרם לעד-,3,P
 19519150495785056627749687296, 09/10/2016 12:57, twitter, twitter, Gabriel, http://twitter.com/zzgab/statuses/785056627749687296, ימח שמם.,2,P
 19519150495785105977288851456, 09/10/2016 04:13, twitter, twitter, Moshe, http://twitter.com/inbal813/statuses/785105977288851456, @issacharoff ימח שמם,2,P
 119517863862386046187, 09/10/2016 09:08, Instagram, Instagram - the_jewish_idea, huxh795, https://www.instagram.com/p/BLViekzDS5j, ימח שמם הערבים,3,P
 19519150495785154138753695744, 09/10/2016 07:25, twitter, twitter, גל זיו - Gal Ziv, http://twitter.com/kobimaklef2015/statuses/785154138753695744, @btselem ימח שמו,3,P
 119517853182494087062, 09/10/2016 04:10, Instagram, Instagram - koolanookahana, noabarhama, https://www.instagram.com/p/BLV_mwlhyaU, ימח שמם @orlystark,2,P
 119517852915791080079, 10/10/2016 09:14, Instagram, Instagram - koolanookahana, roi_ofer, https://www.instagram.com/p/BLYByo1BTt1, שרמוטות יימח שמם,2,P
 119517842814158191091, 30/09/2016 01:53, Instagram, Instagram - one.co.il, yahav_nagar, https://www.instagram.com/p/BK-3TcmBAGO, שישחקו בליגה הירדנית ימח שמם,2,P
 3954961962119553, 26/09/2016 07:33, TB, Ynet - ספורט, משה כהן, http://www.ynet.co.il/articles/0%2c7340%2cL-4859833%2c00.html, כבירי יימח שמך וזכרך-,3,P
 119517843264623130590, 04/10/2016 06:20, Instagram, Instagram - one.co.il, shakedb1936, https://www.instagram.com/p/BLJk4ZshRCr, @shakedb1936 ימח שמם וזכרם,2,P
395497859451959, 06/10/2016 08:49, TB, Ynet - חדשות, הנרי, http://www.ynet.co.il/articles/0%2c7340%2cL-4863742%2c00.html, יימח שמם וזכרם כל אמריקה-,2,P
 19519150495784761894351605764, 08/10/2016 05:26, twitter, twitter, ? Anuki Jana ?, http://twitter.com/anuki_jana17/statuses/784761894351605764, כמה את מצייצת יימח שמך,3,P
 119517843084635167399, 09/10/2016 07:29, Instagram, Instagram - the_jewish_idea, kazavkarin, https://www.instagram.com/p/BLWO2zFDGq-, ימח שמם וזכרםםם של הערביםםםםםםםםםםםםם,3,P
 119517863839826038715, 09/10/2016 12:34, Instagram, Instagram - koolanookahana, shaked_36925, https://www.instagram.com/p/BLVmhHYB5k-, מוות לערבים ימח שמו בנזונה,3,P
 19519150495785179299825451009, 09/10/2016 09:05, twitter, twitter, ouriel daskal, http://twitter.com/odaskal/statuses/785179299825451009, מינסוטה נראים טוב יימח שמם,1,P
 19519150495780422774716264448, 26/09/2016 06:04, twitter, twitter, Nehemia G.A., http://twitter.com/Nehemia_G/statuses/780422774716264448, @chaimlevinson יימח שמם  כמובן.,2,P
 19519150495780777682216910848, 27/09/2016 05:34, twitter, twitter, Ma, http://twitter.com/FakepurpleInk/statuses/780777682216910848, @adobitch יימח שמם וזכרם אמן,2,P
 3954968123589548, 29/09/2016 10:20, TB, MAKO.CO.IL - MAKO - עסקים קטנים, * א, http://www.mako.co.il/news-israel/local-q3_2016/Article-909252047567751004.htm?sCh=31750a2610f26110&pId=948912327, 48.  ימח שמם אין אמונה בהם-,2,P
